City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
222,Tasiilaq,GL,65.6145,-37.6368,46.56,78,100,3.29,overcast clouds,2021-08-03 23:03:11
223,Santiago,CL,-33.4569,-70.6483,66.85,39,0,6.91,clear sky,2021-08-03 23:00:42
224,Sao Filipe,CV,14.8961,-24.4956,75.36,96,100,11.14,overcast clouds,2021-08-03 23:04:52
225,Gat,IL,31.61,34.7642,87.4,40,0,4.45,clear sky,2021-08-03 23:03:05
226,Izhma,RU,65.0083,53.9113,64.09,77,92,6.06,overcast clouds,2021-08-03 23:04:52
227,Grindavik,IS,63.8424,-22.4338,53.56,93,75,9.22,broken clouds,2021-08-03 23:04:53
228,Bantry,IE,51.6833,-9.45,58.48,92,99,2.06,overcast clouds,2021-08-03 23:04:43
229,Norman Wells,CA,65.282,-126.8329,51.84,93,90,3.44,light rain,2021-08-03 23:04:53
230,Mumford,GH,5.2618,-0.759,75.99,92,66,12.06,light rain,2021-08-03 23:04:53
231,Tura,IN,25.5198,90.2201,75.15,95,100,5.28,overcast clouds,2021-08-03 23:04:53
232,Codrington,AU,-38.2667,141.9667,51.69,89,77,12.57,broken clouds,2021-08-03 23:04:54
233,Faya,SA,18.3851,42.4509,64.92,72,50,6.22,scattered clouds,2021-08-03 23:04:54
234,Eureka,US,40.8021,-124.1637,70.12,71,55,5.01,broken clouds,2021-08-03 23:00:47
235,Toora-Khem,RU,52.4675,96.11,52.84,87,25,1.59,scattered clouds,2021-08-03 23:04:54
236,Nemuro,JP,43.3236,145.575,65.57,97,99,9.17,overcast clouds,2021-08-03 23:04:55
237,Jinchang,CN,38.4953,102.1739,72.91,24,94,6.98,overcast clouds,2021-08-03 23:04:55
238,Jerantut,MY,3.936,102.3626,73.49,98,98,0.87,moderate rain,2021-08-03 23:04:55
239,Okhotsk,RU,59.3833,143.3,58.84,60,1,4.81,clear sky,2021-08-03 23:04:55
240,Rundu,NA,-17.9333,19.7667,56.84,39,0,4.59,clear sky,2021-08-03 23:04:56
241,Xinzhou,CN,38.4092,112.7333,69.22,87,100,1.41,overcast clouds,2021-08-03 23:04:56
242,Bredasdorp,ZA,-34.5322,20.0403,51.28,95,42,2.84,scattered clouds,2021-08-03 23:04:56
243,Dingle,PH,10.9995,122.6711,81.18,81,100,8.75,overcast clouds,2021-08-03 23:04:57
244,Kytmanovo,RU,53.4593,85.4479,59.49,89,76,1.5,light rain,2021-08-03 23:04:57
245,Alford,GB,57.2326,-2.703,56.16,92,98,4.09,overcast clouds,2021-08-03 23:04:57
246,Svetlyy,RU,54.675,20.1347,57.25,81,72,2.37,broken clouds,2021-08-03 23:04:58
247,Souillac,MU,-20.5167,57.5167,68.13,73,4,8.68,clear sky,2021-08-03 23:04:58
248,Okato,NZ,-39.2,173.8833,51.42,64,20,1.81,few clouds,2021-08-03 23:04:58
249,Soe,ID,-9.8607,124.284,66.6,79,59,3.65,broken clouds,2021-08-03 23:04:58
250,Pando,UY,-34.7167,-55.95,50.09,87,14,0.0,few clouds,2021-08-03 23:04:59
251,Mbanza-Ngungu,CD,-5.25,14.8667,72.5,58,4,8.59,clear sky,2021-08-03 23:04:59
252,Rincon,US,32.296,-81.2354,81.91,82,90,4.61,overcast clouds,2021-08-03 23:04:59
253,Dosso,NE,13.049,3.1937,82.38,66,14,11.68,few clouds,2021-08-03 23:04:59
254,Emerald,AU,-23.5333,148.1667,59.34,40,60,13.6,broken clouds,2021-08-03 23:00:18
255,Cap Malheureux,MU,-19.9842,57.6142,69.58,67,1,12.06,clear sky,2021-08-03 23:01:09
256,Gazli,UZ,40.1333,63.45,87.57,23,4,9.69,clear sky,2021-08-03 23:05:00
257,Ambon,ID,-3.6954,128.1814,77.14,94,75,4.61,broken clouds,2021-08-03 23:05:00
258,Olafsvik,IS,64.8945,-23.7142,54.32,89,99,5.88,light rain,2021-08-03 23:05:01
259,Puerto Leguizamo,CO,-0.1934,-74.7819,74.91,79,91,2.64,overcast clouds,2021-08-03 23:05:01
